Файл,Широта,Долгота,Высота,Время,Описание
GEOSCAN_Дом_1.jpg,49.932264,41.239349,150.5,10:30:00,Жилой Дом (на его месте сейчас Дом культуры)
GEOSCAN_Дом_2.jpg,49.933947,41.238752,152,10:31:00,Жилой Дом (на его месте сейчас Школа)
